epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4301,1.6776,2.8944,1.61667,0.41137,0.26857,0.23582,0.07473,2.34372,3.18416,2.46366,0.00012,0.00012,0.08812
2,38.8349,1.77729,2.07864,1.8786,0.30968,0.27742,0.21487,0.08275,2.20354,3.347,2.50412,0.000243812,0.000243812,0.0752438
3,53.8687,1.79645,2.08732,1.86144,0.22802,0.30152,0.13938,0.04695,2.4057,15.8107,3.33551,0.00036119,0.00036119,0.0623612
4,68.0019,1.9508,2.02584,1.95827,0.10372,0.20413,0.04306,0.01494,2.49362,13.7797,3.38157,0.000472133,0.000472133,0.0494721
5,82.4898,1.79716,1.96663,1.86453,0.00015,0.04033,8e-05,2e-05,4.14359,inf,10.295,0.00057664,0.00057664,0.0365766
6,96.9025,1.79752,1.84889,1.91324,0.00456,0.00639,0.00115,0.00034,3.29356,89.1717,10.2125,0.000674713,0.000674713,0.0236747
7,111.585,1.75348,1.75275,1.84236,0.0002,0.05607,0.00012,3e-05,4.26908,inf,17.9148,0.00076635,0.00076635,0.0107663
8,126.531,1.83972,1.95583,1.87806,0.00046,0.12789,0.00026,7e-05,3.43334,inf,28.379,0.00082675,0.00082675,0.00082675
9,140.85,1.72223,1.7234,1.77436,0.00046,0.12297,0.00026,6e-05,3.74092,inf,25.8254,0.000802,0.000802,0.000802
10,154.773,1.74422,1.64578,1.77568,0.00347,0.52632,0.00281,0.00107,2.54585,inf,5.91253,0.00077725,0.00077725,0.00077725
11,169.244,1.67416,1.61821,1.80839,0.00828,0.57944,0.00681,0.00264,2.31896,196.376,3.23928,0.0007525,0.0007525,0.0007525
12,183.788,1.70768,1.6316,1.7966,0.35452,0.05214,0.07011,0.03075,1.94126,33.0749,2.41486,0.00072775,0.00072775,0.00072775
13,198.318,1.55211,1.47442,1.63498,0.10257,0.30349,0.13415,0.05545,1.96449,28.5694,2.53947,0.000703,0.000703,0.000703
14,213.256,1.5919,1.47193,1.69359,0.00456,0.54452,0.00364,0.00163,2.00919,inf,2.49715,0.00067825,0.00067825,0.00067825
15,228.329,1.54659,1.48587,1.69506,0.00785,0.59026,0.00667,0.00299,1.95082,inf,2.33243,0.0006535,0.0006535,0.0006535
16,242.579,1.51743,1.43405,1.64779,0.03074,0.54501,0.0242,0.01021,1.89304,36.0431,2.19787,0.00062875,0.00062875,0.00062875
17,256.692,1.53592,1.42717,1.66143,0.19512,0.36399,0.20086,0.0886,1.92232,6.72564,2.13347,0.000604,0.000604,0.000604
18,270.829,1.4449,1.39416,1.63387,0.58606,0.51845,0.50251,0.24194,1.87453,4.36615,2.08452,0.00057925,0.00057925,0.00057925
19,284.627,1.40683,1.16531,1.52894,0.48307,0.5032,0.44936,0.20945,1.78782,3.42904,2.02743,0.0005545,0.0005545,0.0005545
20,298.677,1.46866,1.28476,1.60476,0.44614,0.50834,0.41118,0.1969,1.81648,3.69662,2.03994,0.00052975,0.00052975,0.00052975
21,312.229,1.46152,1.32091,1.58764,0.54425,0.49828,0.51208,0.24824,1.84361,2.12987,1.97296,0.000505,0.000505,0.000505
22,325.897,1.39458,1.1965,1.4963,0.6425,0.57403,0.62226,0.30044,1.84396,1.94379,1.98444,0.00048025,0.00048025,0.00048025
23,339.524,1.46858,1.27302,1.60722,0.69224,0.64584,0.65052,0.32941,1.74321,1.48591,1.90498,0.0004555,0.0004555,0.0004555
24,353.607,1.52399,1.29077,1.60025,0.70735,0.62536,0.67561,0.34374,1.78489,1.47255,1.93263,0.00043075,0.00043075,0.00043075
25,367.399,1.3942,1.19958,1.56167,0.65308,0.61977,0.61874,0.32098,1.73835,1.90964,1.91697,0.000406,0.000406,0.000406
26,381.077,1.33423,1.14217,1.53871,0.65587,0.64781,0.61711,0.31053,1.74919,2.05789,1.91332,0.00038125,0.00038125,0.00038125
27,394.834,1.30815,1.10581,1.44912,0.72784,0.63355,0.68278,0.34774,1.72498,1.50091,1.86863,0.0003565,0.0003565,0.0003565
28,409.079,1.37596,1.17835,1.49731,0.76837,0.64634,0.71681,0.36994,1.70137,1.31973,1.82583,0.00033175,0.00033175,0.00033175
29,422.574,1.3386,1.11136,1.52422,0.73732,0.68913,0.72306,0.36701,1.73258,1.30816,1.84009,0.000307,0.000307,0.000307
30,436.101,1.37772,1.08298,1.51076,0.7463,0.7061,0.73935,0.37024,1.73541,1.29085,1.84433,0.00028225,0.00028225,0.00028225
31,450.616,1.20694,0.91537,1.41015,0.76552,0.70044,0.75785,0.38955,1.71146,1.21122,1.81904,0.0002575,0.0002575,0.0002575
32,464.846,1.18768,0.86003,1.42365,0.81152,0.68619,0.76875,0.40264,1.67663,1.21781,1.7899,0.00023275,0.00023275,0.00023275
33,478.397,1.14321,0.8051,1.3534,0.77806,0.69322,0.75683,0.40209,1.65616,1.25463,1.78507,0.000208,0.000208,0.000208
34,491.902,1.15528,0.81878,1.41485,0.79618,0.70327,0.76653,0.4152,1.62669,1.23377,1.77169,0.00018325,0.00018325,0.00018325
35,505.718,1.17553,0.8504,1.4358,0.82971,0.68962,0.77787,0.4189,1.63368,1.17516,1.77885,0.0001585,0.0001585,0.0001585
36,519.328,1.08892,0.75882,1.33569,0.80736,0.7275,0.78805,0.43614,1.59104,1.13445,1.74095,0.00013375,0.00013375,0.00013375
37,533.4,1.0479,0.74058,1.31059,0.81408,0.73733,0.79172,0.43697,1.60856,1.1268,1.74329,0.000109,0.000109,0.000109
38,546.905,1.08018,0.73727,1.32823,0.83062,0.74816,0.79818,0.43956,1.61609,1.11346,1.74264,8.425e-05,8.425e-05,8.425e-05
39,560.525,1.05777,0.6984,1.32352,0.83776,0.74914,0.80448,0.44725,1.59698,1.08817,1.7205,5.95e-05,5.95e-05,5.95e-05
40,574.037,1.03875,0.69121,1.29397,0.82616,0.75061,0.80468,0.45393,1.58357,1.07062,1.70689,3.475e-05,3.475e-05,3.475e-05
