epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9596,1.63221,1.67447,1.6631,0.20932,0.20659,0.13346,0.05941,2.11304,4.2572,2.36984,0.00033156,0.00033156,0.0671755
2,109.882,1.6937,1.6174,1.72043,0.2967,0.28726,0.18695,0.08665,2.19799,5.61467,2.55491,0.000648438,0.000648438,0.0341591
3,157.784,1.70569,1.64603,1.72575,0.49672,0.45295,0.46096,0.22414,1.84681,3.4786,1.9716,0.000948815,0.000948815,0.00112612
4,204.855,1.6656,1.58537,1.69484,0.42766,0.59961,0.45025,0.22335,1.71545,2.519,1.80652,0.00092575,0.00092575,0.00092575
5,251.818,1.59626,1.47568,1.65752,0.50356,0.61781,0.54822,0.282,1.70497,1.70644,1.69802,0.000901,0.000901,0.000901
6,298.719,1.53831,1.35788,1.61242,0.80011,0.71864,0.79636,0.42697,1.5809,1.18521,1.64666,0.00087625,0.00087625,0.00087625
7,345.754,1.5241,1.31106,1.5683,0.76766,0.7757,0.79818,0.43605,1.5617,1.06419,1.60942,0.0008515,0.0008515,0.0008515
8,392.599,1.47937,1.21221,1.55092,0.81266,0.7639,0.82082,0.46104,1.51567,1.0386,1.60756,0.00082675,0.00082675,0.00082675
9,439.654,1.47638,1.2251,1.54975,0.77134,0.68363,0.76903,0.42031,1.6088,1.13431,1.7051,0.000802,0.000802,0.000802
10,486.535,1.44584,1.14952,1.53151,0.79688,0.81997,0.83663,0.47257,1.49943,0.98413,1.54845,0.00077725,0.00077725,0.00077725
11,533.254,1.4145,1.12007,1.50814,0.84699,0.82636,0.88259,0.52803,1.39844,0.89376,1.49613,0.0007525,0.0007525,0.0007525
12,580.159,1.3917,1.06421,1.49419,0.82766,0.84568,0.88079,0.51919,1.40541,0.89495,1.51677,0.00072775,0.00072775,0.00072775
13,626.864,1.35026,1.05766,1.46007,0.83861,0.81112,0.85352,0.5128,1.41631,0.92378,1.49617,0.000703,0.000703,0.000703
14,673.932,1.35673,1.02032,1.47185,0.81799,0.8312,0.86316,0.51352,1.38192,0.90983,1.48772,0.00067825,0.00067825,0.00067825
15,720.777,1.33326,1.00219,1.45871,0.87991,0.85047,0.90543,0.56069,1.36976,0.7932,1.456,0.0006535,0.0006535,0.0006535
16,767.85,1.32667,0.97236,1.44572,0.86117,0.86867,0.89309,0.55033,1.33175,0.7965,1.42833,0.00062875,0.00062875,0.00062875
17,814.376,1.29854,0.93888,1.42932,0.87975,0.84572,0.90022,0.5565,1.34627,0.77894,1.43759,0.000604,0.000604,0.000604
18,861.042,1.27403,0.92619,1.41339,0.87429,0.85866,0.90346,0.54502,1.35939,0.78791,1.46477,0.00057925,0.00057925,0.00057925
19,907.618,1.27136,0.91449,1.41588,0.87293,0.90162,0.91853,0.57761,1.31931,0.72544,1.42885,0.0005545,0.0005545,0.0005545
20,954.521,1.2512,0.87015,1.40396,0.89587,0.90137,0.9285,0.5828,1.31821,0.69483,1.39349,0.00052975,0.00052975,0.00052975
21,1001.18,1.22765,0.86441,1.38051,0.90905,0.8785,0.92193,0.58068,1.33003,0.71977,1.43781,0.000505,0.000505,0.000505
22,1047.69,1.24065,0.87624,1.40117,0.90602,0.90573,0.93252,0.59152,1.27379,0.70349,1.39147,0.00048025,0.00048025,0.00048025
23,1094.59,1.24919,0.84652,1.38959,0.90536,0.91284,0.93274,0.59326,1.26861,0.6635,1.37566,0.0004555,0.0004555,0.0004555
24,1141.31,1.21124,0.83324,1.36391,0.91577,0.89769,0.93524,0.5974,1.27849,0.66822,1.39522,0.00043075,0.00043075,0.00043075
25,1188.03,1.20502,0.83358,1.36376,0.87926,0.90212,0.92322,0.59408,1.25556,0.68229,1.37429,0.000406,0.000406,0.000406
26,1234.7,1.19168,0.78524,1.35122,0.89208,0.92081,0.9355,0.61292,1.24754,0.64809,1.3685,0.00038125,0.00038125,0.00038125
27,1281.62,1.1817,0.78614,1.35154,0.90736,0.90573,0.93744,0.61313,1.22663,0.63747,1.35559,0.0003565,0.0003565,0.0003565
28,1328.23,1.15447,0.77455,1.33453,0.91641,0.90999,0.9411,0.62075,1.22031,0.62587,1.35071,0.00033175,0.00033175,0.00033175
