epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1374.92,1.14729,0.74405,1.32871,0.91966,0.92179,0.94282,0.62029,1.22526,0.60952,1.35426,0.000307,0.000307,0.000307
30,1421.72,1.15532,0.7488,1.34036,0.92319,0.9154,0.94682,0.61847,1.24006,0.61048,1.36301,0.00028225,0.00028225,0.00028225
31,1469.28,1.10885,0.59163,1.29638,0.91441,0.92425,0.94694,0.63308,1.19953,0.59356,1.32366,0.0002575,0.0002575,0.0002575
32,1516.18,1.07459,0.55269,1.28083,0.93168,0.92565,0.94931,0.6346,1.18987,0.59051,1.33335,0.00023275,0.00023275,0.00023275
33,1562.56,1.05471,0.54325,1.25611,0.92595,0.92873,0.95224,0.64569,1.17562,0.57374,1.32534,0.000208,0.000208,0.000208
34,1609.11,1.04116,0.52055,1.25075,0.93049,0.935,0.95884,0.64524,1.18698,0.57108,1.32242,0.00018325,0.00018325,0.00018325
35,1656.05,1.02751,0.51927,1.24182,0.93712,0.93458,0.95847,0.65266,1.16914,0.5575,1.32257,0.0001585,0.0001585,0.0001585
36,1702.61,0.99836,0.49713,1.21716,0.93716,0.93894,0.9609,0.65241,1.1731,0.5464,1.31127,0.00013375,0.00013375,0.00013375
37,1750.94,0.98312,0.49127,1.21658,0.94485,0.94097,0.96104,0.6597,1.15756,0.53716,1.29872,0.000109,0.000109,0.000109
38,1799.24,0.98984,0.48922,1.21765,0.93027,0.93843,0.95953,0.6577,1.14423,0.53529,1.30052,8.425e-05,8.425e-05,8.425e-05
39,1847.58,0.96251,0.47459,1.19638,0.94022,0.94097,0.96477,0.66814,1.13576,0.52294,1.28654,5.95e-05,5.95e-05,5.95e-05
40,1896.11,0.95814,0.46531,1.19101,0.93879,0.94295,0.9626,0.66366,1.14098,0.52206,1.29105,3.475e-05,3.475e-05,3.475e-05
