epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,236.402,1.5106,1.5379,1.55442,0.23497,0.33202,0.21717,0.09952,2.39259,12.1241,2.48986,0.000604,0.000604,0.000604
18,249.105,1.47452,1.46049,1.51597,0.53645,0.30497,0.30445,0.14325,2.66007,4.30768,2.5693,0.00057925,0.00057925,0.00057925
19,262.164,1.46664,1.30176,1.46955,0.35732,0.43237,0.31189,0.13736,2.08624,4.80656,2.2396,0.0005545,0.0005545,0.0005545
20,274.563,1.46109,1.40916,1.48443,0.71997,0.41859,0.46497,0.20579,2.11616,2.78829,2.26445,0.00052975,0.00052975,0.00052975
21,287.152,1.55251,1.52753,1.5983,0.64805,0.4786,0.50475,0.22197,2.02646,2.5844,2.19666,0.000505,0.000505,0.000505
22,299.796,1.47364,1.41666,1.53896,0.17594,0.56813,0.19026,0.08046,1.85973,5.95001,2.17051,0.00048025,0.00048025,0.00048025
23,312.475,1.47044,1.40735,1.50466,0.36874,0.51599,0.34603,0.1476,1.84681,5.21678,2.2393,0.0004555,0.0004555,0.0004555
24,325.366,1.48561,1.42195,1.55388,0.46859,0.5637,0.45309,0.21091,1.80331,3.82374,2.03194,0.00043075,0.00043075,0.00043075
25,337.757,1.44505,1.32995,1.54686,0.36987,0.56173,0.33301,0.15136,1.81517,4.05276,2.01469,0.000406,0.000406,0.000406
26,350.323,1.40481,1.28736,1.49236,0.18298,0.31429,0.18105,0.0746,1.83803,8.26252,2.02513,0.00038125,0.00038125,0.00038125
27,363.24,1.37596,1.25401,1.4621,0.42379,0.54993,0.3989,0.18101,1.85607,4.77646,1.98788,0.0003565,0.0003565,0.0003565
28,376.435,1.43785,1.27686,1.50303,0.69763,0.59694,0.63313,0.30802,1.76743,2.62903,1.90224,0.00033175,0.00033175,0.00033175
29,389.139,1.36622,1.18974,1.47343,0.6987,0.62174,0.64188,0.31114,1.76297,2.31564,1.89125,0.000307,0.000307,0.000307
30,401.765,1.29992,1.14512,1.39964,0.51204,0.63453,0.5013,0.23785,1.7852,2.4037,1.92021,0.00028225,0.00028225,0.00028225
31,415.214,1.25084,0.99986,1.39355,0.53537,0.63423,0.54787,0.26068,1.78354,2.09749,1.89165,0.0002575,0.0002575,0.0002575
32,428.311,1.28119,1.04955,1.44674,0.71839,0.61535,0.65411,0.33222,1.74878,1.62956,1.87216,0.00023275,0.00023275,0.00023275
33,440.831,1.18575,0.95128,1.36467,0.73565,0.63788,0.67825,0.34637,1.74315,1.52475,1.86606,0.000208,0.000208,0.000208
34,453.439,1.06274,0.93026,1.31971,0.77577,0.63847,0.70299,0.35976,1.72097,1.44614,1.83084,0.00018325,0.00018325,0.00018325
35,466.033,1.13999,0.8722,1.33061,0.75621,0.64692,0.7059,0.36999,1.69466,1.38562,1.80104,0.0001585,0.0001585,0.0001585
36,478.605,1.10935,0.79209,1.32479,0.76317,0.67339,0.72487,0.38029,1.67796,1.27538,1.78809,0.00013375,0.00013375,0.00013375
37,491.553,1.02999,0.78548,1.26105,0.78368,0.68427,0.73701,0.38804,1.66323,1.23659,1.77315,0.000109,0.000109,0.000109
38,504.011,1.09512,0.82948,1.35594,0.77879,0.7093,0.75095,0.39871,1.64811,1.2161,1.74884,8.425e-05,8.425e-05,8.425e-05
39,516.844,1.04593,0.80268,1.21851,0.8007,0.70733,0.76543,0.4065,1.64063,1.21171,1.73393,5.95e-05,5.95e-05,5.95e-05
40,529.334,1.02286,0.77002,1.22132,0.80841,0.71028,0.7761,0.41292,1.63639,1.19954,1.72901,3.475e-05,3.475e-05,3.475e-05
