epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9855,1.6445,3.7567,1.66257,0.32065,0.11559,0.09716,0.05186,1.84066,3.86273,1.71099,6e-05,6e-05,0.09406
2,36.4884,1.78194,2.4251,1.63423,0.16097,0.20954,0.06677,0.02123,2.57409,3.73057,2.28263,0.000126783,0.000126783,0.0871268
3,51.3555,1.77137,2.04952,1.56779,0.21694,0.195,0.11654,0.0432,2.29792,6.1589,2.12713,0.0001901,0.0001901,0.0801901
4,65.1419,1.86223,2.10031,1.72222,0.4559,0.24496,0.24312,0.08303,2.2438,4.61744,2.3704,0.000249953,0.000249953,0.07325
5,79.2753,1.81137,1.79198,1.7709,0.08544,0.30103,0.06475,0.02331,2.44578,11.6356,2.85841,0.00030634,0.00030634,0.0663063
6,92.2357,1.76321,2.00417,1.72697,0.176,0.27103,0.157,0.06568,2.31097,13.2009,3.26701,0.000359262,0.000359262,0.0593593
7,105.342,1.77337,1.80107,1.7475,0.03836,0.19823,0.02303,0.00832,2.2399,76.6779,5.47768,0.00040872,0.00040872,0.0524087
8,118.143,1.75578,1.85934,1.78505,0.02501,0.15986,0.01235,0.00424,2.42524,105.604,7.89895,0.000454713,0.000454713,0.0454547
9,131.146,1.74824,1.85698,1.77145,0.08306,0.02459,0.01303,0.00437,2.39938,47.0215,5.36517,0.00049724,0.00049724,0.0384972
10,144.23,1.77889,1.77596,1.71678,0.01834,0.34973,0.01248,0.00477,2.41794,inf,2.95896,0.000536303,0.000536303,0.0315363
11,158.074,1.63397,1.78925,1.65711,0.00499,0.40187,0.00355,0.00145,2.52291,inf,2.79185,0.0005719,0.0005719,0.0245719
12,171.745,1.73319,1.77538,1.63857,0.0697,0.26808,0.0639,0.02088,2.35454,30.0187,3.04378,0.000604033,0.000604033,0.017604
13,184.868,1.70349,1.67309,1.67035,0.0588,0.34137,0.06165,0.01905,2.27779,32.7989,3.66204,0.0006327,0.0006327,0.0106327
14,197.831,1.62244,1.61418,1.72166,0.08166,0.35957,0.07101,0.02413,2.07502,41.5527,3.4568,0.000657903,0.000657903,0.0036579
15,211.019,1.65862,1.68589,1.68634,0.20785,0.2912,0.18693,0.07456,2.08781,13.1735,2.65823,0.0006535,0.0006535,0.0006535
16,223.792,1.55262,1.66748,1.63938,0.13509,0.28529,0.09166,0.03693,2.2297,11.4373,2.57281,0.00062875,0.00062875,0.00062875
