epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3028,1.6785,1.89478,1.70783,0.16703,0.35121,0.16684,0.0701,1.94801,12.1363,2.56922,0.000329787,0.000329787,0.0673511
2,70.8465,1.77798,1.80564,1.80371,0.0551,0.17954,0.02259,0.00771,2.27168,48.5873,4.05137,0.000646708,0.000646708,0.0343347
3,100.062,1.76801,1.72115,1.75862,0.37044,0.39105,0.31313,0.13178,2.06711,3.75887,2.31755,0.000947129,0.000947129,0.00130174
4,129.224,1.76383,1.73438,1.78587,0.48967,0.48893,0.46085,0.21064,1.91146,2.8479,2.03751,0.00092575,0.00092575,0.00092575
5,158.433,1.71103,1.6567,1.76486,0.65756,0.44811,0.50987,0.23492,1.8738,2.35226,1.92344,0.000901,0.000901,0.000901
6,187.889,1.6801,1.61001,1.70636,0.42884,0.39351,0.37791,0.19035,1.88574,3.00339,2.02349,0.00087625,0.00087625,0.00087625
7,216.895,1.63853,1.56699,1.66335,0.66383,0.56124,0.65229,0.33821,1.7028,1.52883,1.76622,0.0008515,0.0008515,0.0008515
8,246.042,1.59384,1.47856,1.63884,0.67942,0.62026,0.62219,0.30642,1.67867,1.65906,1.74902,0.00082675,0.00082675,0.00082675
9,275.108,1.57008,1.42918,1.64252,0.66141,0.59518,0.67089,0.36098,1.67481,1.6253,1.73987,0.000802,0.000802,0.000802
10,304.035,1.55616,1.38893,1.59749,0.65057,0.65296,0.66467,0.31942,1.73546,1.52306,1.81129,0.00077725,0.00077725,0.00077725
11,333.042,1.5208,1.39921,1.62123,0.75325,0.69946,0.74517,0.40476,1.5847,1.23236,1.65464,0.0007525,0.0007525,0.0007525
12,361.982,1.47531,1.24311,1.54901,0.76444,0.71352,0.77876,0.41746,1.5992,1.21447,1.66607,0.00072775,0.00072775,0.00072775
13,391.094,1.50009,1.27694,1.57821,0.81827,0.74619,0.80563,0.44036,1.58499,1.11899,1.6376,0.000703,0.000703,0.000703
14,420.437,1.45663,1.25033,1.54086,0.67627,0.79046,0.77091,0.43974,1.46563,1.12827,1.53877,0.00067825,0.00067825,0.00067825
15,449.479,1.40454,1.17341,1.49281,0.79478,0.78674,0.81881,0.47264,1.46882,1.02174,1.53442,0.0006535,0.0006535,0.0006535
16,478.787,1.42861,1.13672,1.51674,0.80021,0.80775,0.84863,0.47828,1.49217,0.98363,1.56488,0.00062875,0.00062875,0.00062875
17,508.107,1.37784,1.09697,1.49235,0.83079,0.80374,0.87447,0.50016,1.49404,0.94191,1.55535,0.000604,0.000604,0.000604
18,537.3,1.38406,1.12475,1.50403,0.83888,0.77344,0.83616,0.49169,1.43459,1.00173,1.53427,0.00057925,0.00057925,0.00057925
19,566.559,1.39605,1.09801,1.50158,0.88951,0.818,0.88131,0.52669,1.39571,0.89459,1.49948,0.0005545,0.0005545,0.0005545
20,595.373,1.35977,1.05621,1.48031,0.76223,0.84899,0.8631,0.5099,1.42216,0.90573,1.503,0.00052975,0.00052975,0.00052975
21,624.526,1.34537,1.057,1.46657,0.85151,0.81899,0.87546,0.52944,1.39254,0.87911,1.48147,0.000505,0.000505,0.000505
22,653.672,1.29877,1.01937,1.44294,0.86151,0.83571,0.88879,0.53339,1.38149,0.83234,1.47949,0.00048025,0.00048025,0.00048025
23,682.99,1.30089,1.01305,1.44097,0.88656,0.81505,0.88704,0.52765,1.39502,0.85429,1.48473,0.0004555,0.0004555,0.0004555
24,711.78,1.28887,0.96331,1.4294,0.86685,0.85183,0.89279,0.53612,1.3913,0.83944,1.47396,0.00043075,0.00043075,0.00043075
25,740.766,1.26048,0.93888,1.40893,0.8716,0.85475,0.89692,0.54935,1.37997,0.78652,1.47703,0.000406,0.000406,0.000406
26,770.179,1.27693,0.94594,1.40883,0.88438,0.84604,0.90318,0.55487,1.36437,0.78138,1.45215,0.00038125,0.00038125,0.00038125
27,799.743,1.24081,0.8749,1.37622,0.88274,0.87762,0.91458,0.5619,1.35481,0.75324,1.44918,0.0003565,0.0003565,0.0003565
28,829.206,1.21923,0.90073,1.37954,0.86419,0.86701,0.90352,0.55847,1.34808,0.77376,1.4404,0.00033175,0.00033175,0.00033175
29,858.949,1.22942,0.86125,1.3617,0.87319,0.88392,0.9111,0.56748,1.32608,0.74669,1.42452,0.000307,0.000307,0.000307
30,888.475,1.22433,0.86918,1.3798,0.89931,0.8699,0.91448,0.56563,1.35086,0.73475,1.4436,0.00028225,0.00028225,0.00028225
31,918.924,1.17127,0.69574,1.35667,0.8912,0.8824,0.92336,0.57363,1.32691,0.73516,1.42448,0.0002575,0.0002575,0.0002575
32,948.888,1.15557,0.66504,1.34091,0.90766,0.89867,0.93429,0.59002,1.299,0.6977,1.40395,0.00023275,0.00023275,0.00023275
33,978.482,1.14336,0.62006,1.32071,0.90888,0.89295,0.93485,0.59849,1.30311,0.67647,1.41143,0.000208,0.000208,0.000208
34,1007.56,1.12139,0.61147,1.31535,0.91844,0.90507,0.93578,0.60455,1.28769,0.65976,1.39673,0.00018325,0.00018325,0.00018325
35,1036.62,1.10487,0.59602,1.2971,0.90164,0.90632,0.93435,0.60659,1.27022,0.66062,1.40039,0.0001585,0.0001585,0.0001585
36,1065.54,1.08496,0.579,1.28679,0.9002,0.89628,0.93342,0.5969,1.29528,0.66633,1.41617,0.00013375,0.00013375,0.00013375
37,1094.4,1.0718,0.57318,1.26506,0.9067,0.91786,0.93292,0.60506,1.26976,0.64294,1.39365,0.000109,0.000109,0.000109
38,1123.02,1.04511,0.56193,1.27465,0.91395,0.91429,0.94062,0.61811,1.26218,0.62676,1.38578,8.425e-05,8.425e-05,8.425e-05
39,1152,1.04378,0.55081,1.24018,0.91424,0.9124,0.94188,0.61747,1.25057,0.62775,1.37765,5.95e-05,5.95e-05,5.95e-05
40,1180.6,1.0166,0.53295,1.23231,0.92104,0.91736,0.94171,0.61999,1.24889,0.61479,1.37178,3.475e-05,3.475e-05,3.475e-05
