epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3383,1.00646,1.72422,0.60992,0.05439,0.50812,0.05391,0.02327,0.75611,1.22494,0.46712,0.000329787,0.000329787,0.0673511
2,103.153,0.55479,1.24959,0.26002,0.06463,0.42499,0.07681,0.02917,0.52232,1.54268,0.23591,0.000646708,0.000646708,0.0343347
3,150.066,0.53617,1.1909,0.22956,0.06194,0.63256,0.08339,0.0531,0.37298,1.48043,0.17979,0.000947129,0.000947129,0.00130174
4,196.586,0.45221,1.15361,0.20797,0.11959,0.46462,0.15598,0.09311,0.41573,1.19814,0.20286,0.00092575,0.00092575,0.00092575
5,243.524,0.50053,0.89921,0.24646,0.56022,0.51129,0.48918,0.28158,0.4638,0.87263,0.23489,0.000901,0.000901,0.000901
6,289.814,0.52556,0.67759,0.26788,0.69612,0.67721,0.73447,0.4191,0.47806,0.74605,0.27073,0.00087625,0.00087625,0.00087625
7,336.48,0.53705,0.65934,0.26526,0.8705,0.62494,0.71861,0.42213,0.45104,0.83966,0.23893,0.0008515,0.0008515,0.0008515
8,383.48,0.50165,0.66796,0.25823,0.84636,0.73192,0.7774,0.47029,0.44191,0.70941,0.24436,0.00082675,0.00082675,0.00082675
9,429.774,0.49707,0.65843,0.26835,0.71615,0.7111,0.74971,0.44072,0.48135,0.65601,0.27214,0.000802,0.000802,0.000802
10,475.776,0.47891,0.6749,0.24487,0.76389,0.63338,0.68336,0.39539,0.4381,0.78842,0.20929,0.00077725,0.00077725,0.00077725
11,522.5,0.47501,0.6802,0.24522,0.80135,0.697,0.76391,0.43763,0.45874,0.70758,0.23354,0.0007525,0.0007525,0.0007525
12,569.823,0.45621,0.62761,0.23377,0.78845,0.8667,0.81277,0.48901,0.44928,0.53722,0.254,0.00072775,0.00072775,0.00072775
13,616.515,0.47187,0.6555,0.24336,0.80951,0.7816,0.81864,0.50298,0.43518,0.64788,0.23331,0.000703,0.000703,0.000703
14,663.382,0.44509,0.65731,0.2243,0.83894,0.87628,0.84515,0.54223,0.40255,0.52564,0.21481,0.00067825,0.00067825,0.00067825
15,710.076,0.42503,0.56206,0.21871,0.83121,0.85981,0.84998,0.54101,0.41104,0.53129,0.22243,0.0006535,0.0006535,0.0006535
16,756.683,0.44005,0.57364,0.2169,0.83036,0.88361,0.84528,0.53736,0.41639,0.51085,0.22584,0.00062875,0.00062875,0.00062875
17,803.556,0.42073,0.59388,0.20603,0.85884,0.85588,0.84849,0.5222,0.43454,0.52646,0.24297,0.000604,0.000604,0.000604
18,850.013,0.43203,0.57064,0.21964,0.82442,0.87162,0.85844,0.54311,0.41499,0.48418,0.21999,0.00057925,0.00057925,0.00057925
19,896.739,0.43811,0.56119,0.21444,0.76702,0.84407,0.83031,0.52618,0.40363,0.49734,0.21989,0.0005545,0.0005545,0.0005545
20,943.379,0.42324,0.53891,0.20835,0.81655,0.86768,0.8563,0.5541,0.39592,0.49743,0.21824,0.00052975,0.00052975,0.00052975
21,989.848,0.41919,0.53947,0.20806,0.88467,0.82735,0.86913,0.54446,0.39998,0.56932,0.20829,0.000505,0.000505,0.000505
22,1035.94,0.41102,0.55111,0.19649,0.83048,0.93163,0.88348,0.56924,0.39796,0.4544,0.21713,0.00048025,0.00048025,0.00048025
23,1082.74,0.40333,0.55165,0.19339,0.84691,0.88708,0.8701,0.55223,0.41384,0.51952,0.22048,0.0004555,0.0004555,0.0004555
24,1128.92,0.39621,0.61262,0.18839,0.78532,0.89129,0.8123,0.53637,0.40615,0.51319,0.22025,0.00043075,0.00043075,0.00043075
25,1175.14,0.39615,0.52931,0.20307,0.7251,0.83817,0.84566,0.55681,0.38689,0.51719,0.20266,0.000406,0.000406,0.000406
26,1221.96,0.40355,0.52683,0.19659,0.79234,0.74127,0.79475,0.51745,0.39534,0.58615,0.20872,0.00038125,0.00038125,0.00038125
27,1268.75,0.39634,0.50983,0.18573,0.79817,0.90457,0.86282,0.56401,0.39446,0.47021,0.21385,0.0003565,0.0003565,0.0003565
28,1315.15,0.38659,0.52499,0.1798,0.75708,0.92179,0.83928,0.55784,0.39063,0.49021,0.21446,0.00033175,0.00033175,0.00033175
29,1361.77,0.3939,0.49872,0.17565,0.8461,0.88736,0.87255,0.57069,0.39552,0.46802,0.21399,0.000307,0.000307,0.000307
30,1408.32,0.37916,0.49364,0.18009,0.7958,0.90478,0.85685,0.56296,0.39424,0.46712,0.22063,0.00028225,0.00028225,0.00028225
31,1455.71,0.33559,0.42537,0.16431,0.86355,0.90274,0.89939,0.59338,0.38206,0.43299,0.20483,0.0002575,0.0002575,0.0002575
32,1502.55,0.33434,0.3852,0.15001,0.90067,0.94491,0.92599,0.6186,0.37614,0.39577,0.20309,0.00023275,0.00023275,0.00023275
33,1548.93,0.3152,0.36446,0.13764,0.89617,0.92818,0.92103,0.61955,0.38078,0.40191,0.20624,0.000208,0.000208,0.000208
34,1595.21,0.31085,0.35957,0.1419,0.89919,0.92769,0.92184,0.62309,0.38094,0.40398,0.21147,0.00018325,0.00018325,0.00018325
35,1642.43,0.31009,0.36195,0.1381,0.8696,0.92769,0.89719,0.60229,0.383,0.41054,0.22123,0.0001585,0.0001585,0.0001585
36,1688.63,0.30216,0.36064,0.13325,0.89312,0.92483,0.91259,0.61994,0.37983,0.40513,0.2176,0.00013375,0.00013375,0.00013375
37,1734.76,0.30279,0.35666,0.12792,0.89238,0.93999,0.92143,0.6249,0.37492,0.40377,0.20858,0.000109,0.000109,0.000109
38,1781.3,0.29825,0.34885,0.13067,0.90101,0.93556,0.92501,0.62808,0.3774,0.39766,0.20884,8.425e-05,8.425e-05,8.425e-05
39,1827.89,0.29362,0.33817,0.12251,0.91346,0.93212,0.93427,0.63231,0.37845,0.39612,0.21037,5.95e-05,5.95e-05,5.95e-05
40,1874.27,0.29018,0.33484,0.12184,0.91389,0.93443,0.92187,0.62573,0.37886,0.39795,0.21709,3.475e-05,3.475e-05,3.475e-05
