epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3487,1.17498,6.05279,0.85259,0.00017,0.0482,0.00013,2e-05,2.05054,0.28888,2.00061,0.00012,0.00012,0.08812
2,39.2219,0.99317,1.25977,0.68168,0.00154,0.42745,0.09268,0.03005,1.44378,0.88251,1.49812,0.000243812,0.000243812,0.0752438
3,55.7932,0.80187,1.41743,0.43477,0.00214,0.59616,0.02319,0.00666,1.08871,1.01412,1.00463,0.00036119,0.00036119,0.0623612
4,72.3344,0.86085,1.02993,0.42746,0.00283,0.78652,0.08098,0.02745,0.75742,1.2487,0.453,0.000472133,0.000472133,0.0494721
5,88.7189,0.6125,1.3212,0.32347,0.00263,0.72996,0.06803,0.02499,0.82817,1.1795,0.66977,0.00057664,0.00057664,0.0365766
6,105.716,0.57078,1.45623,0.30948,0.01596,0.85637,0.05335,0.02311,0.58758,1.73405,0.30125,0.000674713,0.000674713,0.0236747
7,122.378,0.47809,1.41253,0.25879,0.02477,0.79685,0.05964,0.03,0.60113,1.39507,0.37718,0.00076635,0.00076635,0.0107663
8,139.172,0.53573,1.27333,0.27417,0.04319,0.53615,0.04084,0.02192,0.49923,1.41235,0.27157,0.00082675,0.00082675,0.00082675
9,156.11,0.47579,1.37042,0.22974,0.03915,0.45007,0.04262,0.02325,0.43793,1.58075,0.22293,0.000802,0.000802,0.000802
10,173.63,0.46981,1.33323,0.20194,0.04853,0.38465,0.05808,0.02826,0.42154,1.40276,0.21504,0.00077725,0.00077725,0.00077725
11,190.344,0.41317,1.38264,0.20475,0.04182,0.48942,0.04851,0.02591,0.44319,1.40944,0.20146,0.0007525,0.0007525,0.0007525
12,207.171,0.48179,1.322,0.21989,0.05008,0.46631,0.07804,0.04149,0.42831,1.35342,0.19432,0.00072775,0.00072775,0.00072775
13,224.033,0.41703,1.28533,0.18243,0.05101,0.46877,0.10449,0.04988,0.44812,1.39598,0.21036,0.000703,0.000703,0.000703
14,241.369,0.39974,1.34518,0.18805,0.07805,0.37973,0.08157,0.03526,0.42499,1.40738,0.21,0.00067825,0.00067825,0.00067825
15,258.39,0.38392,1.33482,0.17358,0.07811,0.41417,0.07427,0.03843,0.39963,1.48482,0.20182,0.0006535,0.0006535,0.0006535
16,275.37,0.37319,1.36406,0.18144,0.07471,0.3474,0.06423,0.03231,0.3959,1.47706,0.19419,0.00062875,0.00062875,0.00062875
17,292.196,0.38201,1.31198,0.16647,0.0473,0.5032,0.05804,0.03105,0.40819,1.61343,0.20864,0.000604,0.000604,0.000604
18,308.834,0.34062,1.36797,0.16802,0.04882,0.46975,0.05588,0.03418,0.41345,1.37292,0.19841,0.00057925,0.00057925,0.00057925
19,325.878,0.34669,1.29799,0.14192,0.05238,0.5696,0.07274,0.04135,0.39072,1.49188,0.2027,0.0005545,0.0005545,0.0005545
20,342.653,0.33459,1.40693,0.16402,0.06401,0.49729,0.0703,0.03883,0.38702,1.34659,0.1843,0.00052975,0.00052975,0.00052975
21,359.792,0.34768,1.26002,0.146,0.06193,0.55288,0.07595,0.04742,0.39427,1.39127,0.19133,0.000505,0.000505,0.000505
22,377.162,0.33199,1.37058,0.15429,0.06153,0.57214,0.08129,0.05193,0.40036,1.43751,0.1903,0.00048025,0.00048025,0.00048025
23,394.532,0.36163,1.24541,0.16716,0.09607,0.51549,0.0998,0.05245,0.43556,1.23105,0.21979,0.0004555,0.0004555,0.0004555
24,411.437,0.34975,1.22802,0.15592,0.07577,0.51156,0.08976,0.0496,0.44647,1.3317,0.22849,0.00043075,0.00043075,0.00043075
25,428.143,0.32071,1.30987,0.15466,0.07533,0.46975,0.07251,0.03944,0.45534,1.31578,0.21988,0.000406,0.000406,0.000406
26,444.82,0.30504,1.27586,0.1331,0.07731,0.4668,0.07746,0.04622,0.44156,1.34749,0.22732,0.00038125,0.00038125,0.00038125
27,461.552,0.32182,1.27747,0.13781,0.07996,0.44761,0.0796,0.04659,0.42993,1.29608,0.22449,0.0003565,0.0003565,0.0003565
28,478.814,0.35719,1.17083,0.16616,0.09669,0.4727,0.11397,0.06817,0.43235,1.30733,0.23046,0.00033175,0.00033175,0.00033175
29,495.792,0.35529,1.17839,0.16531,0.13623,0.44073,0.13934,0.08764,0.42195,1.16232,0.21617,0.000307,0.000307,0.000307
30,512.785,0.34176,1.04378,0.14662,0.14719,0.47418,0.1441,0.09288,0.43399,1.11419,0.22367,0.00028225,0.00028225,0.00028225
31,530.874,0.30111,1.1046,0.14091,0.21804,0.4786,0.20646,0.13389,0.44451,1.02097,0.22914,0.0002575,0.0002575,0.0002575
32,548.828,0.28191,0.97916,0.13138,0.18703,0.42745,0.17803,0.11368,0.45299,1.20315,0.2497,0.00023275,0.00023275,0.00023275
33,566.283,0.28363,1.23529,0.13624,0.23032,0.37629,0.2136,0.14045,0.45497,1.14301,0.24848,0.000208,0.000208,0.000208
34,584.119,0.27797,0.98834,0.12131,0.35552,0.35219,0.29259,0.1929,0.46715,0.99078,0.24141,0.00018325,0.00018325,0.00018325
35,601.114,0.35214,0.91055,0.16372,0.34951,0.46805,0.32444,0.19827,0.48545,0.95276,0.24381,0.0001585,0.0001585,0.0001585
36,618.03,0.322,0.97868,0.14065,0.33048,0.52104,0.3188,0.19449,0.46339,0.99272,0.23505,0.00013375,0.00013375,0.00013375
37,635.116,0.27906,0.99743,0.13034,0.34074,0.51303,0.34045,0.20818,0.45723,0.97161,0.24675,0.000109,0.000109,0.000109
38,652.051,0.29068,0.99869,0.14028,0.35096,0.55239,0.35289,0.21434,0.4546,0.92813,0.24242,8.425e-05,8.425e-05,8.425e-05
39,668.92,0.28557,0.91935,0.13044,0.38743,0.55252,0.38628,0.23658,0.45048,0.87677,0.23764,5.95e-05,5.95e-05,5.95e-05
40,685.944,0.2965,0.82183,0.13589,0.42611,0.58534,0.43049,0.26758,0.44181,0.82763,0.23052,3.475e-05,3.475e-05,3.475e-05
