epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,519.099,1.34857,1.12476,1.50991,0.83066,0.7939,0.84104,0.4843,1.47975,0.98907,1.59363,0.000307,0.000307,0.000307
30,535.834,1.32492,1.07928,1.46414,0.81753,0.77865,0.83928,0.47921,1.4913,0.99262,1.59125,0.00028225,0.00028225,0.00028225
31,553.451,1.27576,0.89425,1.39598,0.8642,0.77003,0.84539,0.47911,1.49375,1.04159,1.59611,0.0002575,0.0002575,0.0002575
32,570.245,1.23425,0.87218,1.38877,0.83463,0.82672,0.86442,0.50757,1.44234,0.91566,1.55907,0.00023275,0.00023275,0.00023275
33,586.909,1.24236,0.84033,1.38485,0.8832,0.80341,0.87426,0.51217,1.44946,0.92685,1.56835,0.000208,0.000208,0.000208
34,603.649,1.1756,0.7844,1.35315,0.8474,0.82391,0.86699,0.51253,1.42812,0.89999,1.5585,0.00018325,0.00018325,0.00018325
35,620.468,1.19253,0.76459,1.35545,0.86153,0.83549,0.88496,0.52503,1.41285,0.87253,1.54473,0.0001585,0.0001585,0.0001585
36,637.275,1.16305,0.74853,1.33248,0.87687,0.83374,0.88682,0.52886,1.41205,0.86945,1.54494,0.00013375,0.00013375,0.00013375
37,654.017,1.14567,0.7377,1.31156,0.86605,0.84211,0.88898,0.53047,1.4196,0.86507,1.55114,0.000109,0.000109,0.000109
38,670.682,1.0958,0.72142,1.3022,0.86371,0.8385,0.88854,0.53354,1.40448,0.8525,1.55658,8.425e-05,8.425e-05,8.425e-05
39,687.395,1.08358,0.69733,1.27772,0.85871,0.86096,0.89262,0.53971,1.39893,0.82207,1.54909,5.95e-05,5.95e-05,5.95e-05
40,704.093,1.0625,0.69317,1.28183,0.87042,0.85686,0.89271,0.53907,1.39696,0.82737,1.5382,3.475e-05,3.475e-05,3.475e-05
