epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7685,1.77942,2.66338,1.75956,0.02973,0.37777,0.01938,0.00626,2.31383,15.0134,2.71111,0.00031,0.00031,0.06931
2,59.8563,1.95201,2.0961,1.95928,0.0056,0.13576,0.00253,0.00085,3.17475,101.854,6.92106,0.000614408,0.000614408,0.0376144
3,78.6961,1.97296,2.19252,1.92845,0.00498,0.43532,0.00381,0.0013,2.5776,inf,11.5249,0.000902975,0.000902975,0.00590297
4,95.8688,1.96255,2.1096,2.00748,0.06557,0.0969,0.02303,0.00816,3.08408,17.7047,4.13705,0.00092575,0.00092575,0.00092575
5,113.516,1.83387,1.89654,1.89644,0.09618,0.08608,0.02564,0.01002,2.9099,7.08973,3.00689,0.000901,0.000901,0.000901
6,131.095,1.82384,1.82833,1.88481,0.16573,0.32759,0.18386,0.07747,2.03995,24.0081,2.29324,0.00087625,0.00087625,0.00087625
7,148.095,1.79292,1.796,1.83397,0.37669,0.20413,0.16763,0.07087,nan,nan,nan,0.0008515,0.0008515,0.0008515
8,165.279,1.77077,1.77295,1.8451,0.10682,0.0846,0.03282,0.01627,3.40328,7.01936,4.31712,0.00082675,0.00082675,0.00082675
9,182.27,1.76438,1.79537,1.78917,0.58095,0.4668,0.46292,0.21362,2.00253,2.07375,2.12004,0.000802,0.000802,0.000802
10,199.472,1.72274,1.71626,1.7559,0.57213,0.51008,0.54318,0.25138,1.87536,2.12626,1.98868,0.00077725,0.00077725,0.00077725
11,216.552,1.69534,1.6043,1.73113,0.47957,0.41972,0.40802,0.19128,1.90213,3.62983,2.10262,0.0007525,0.0007525,0.0007525
12,233.543,1.74397,1.60141,1.73603,0.44409,0.46778,0.43872,0.21554,1.76337,2.71913,1.86787,0.00072775,0.00072775,0.00072775
13,250.292,1.61913,1.51601,1.67611,0.65581,0.51992,0.5734,0.30643,1.72531,1.63676,1.79542,0.000703,0.000703,0.000703
14,267.07,1.59989,1.51704,1.67327,0.5541,0.55829,0.56758,0.28802,1.66985,1.98466,1.72371,0.00067825,0.00067825,0.00067825
15,283.861,1.59331,1.50208,1.66774,0.63063,0.62027,0.63042,0.31744,1.62021,1.69622,1.72069,0.0006535,0.0006535,0.0006535
16,300.785,1.51654,1.41681,1.59446,0.61401,0.61977,0.65087,0.33301,1.73436,1.49479,1.87319,0.00062875,0.00062875,0.00062875
17,317.788,1.54538,1.39178,1.62102,0.63957,0.65716,0.68571,0.37152,1.61538,1.36005,1.68026,0.000604,0.000604,0.000604
18,334.816,1.44568,1.34351,1.54197,0.7437,0.66797,0.72931,0.38609,1.64781,1.31153,1.71271,0.00057925,0.00057925,0.00057925
19,351.892,1.51628,1.33639,1.60376,0.71189,0.66109,0.71699,0.38519,1.59974,1.35894,1.70544,0.0005545,0.0005545,0.0005545
20,368.533,1.4719,1.31076,1.57531,0.7605,0.66699,0.74243,0.39443,1.62819,1.25186,1.71111,0.00052975,0.00052975,0.00052975
21,385.323,1.45986,1.28881,1.55213,0.7419,0.60939,0.69099,0.37015,1.6553,1.34212,1.76978,0.000505,0.000505,0.000505
22,402.163,1.44305,1.30112,1.52939,0.76866,0.71176,0.76266,0.40789,1.606,1.23679,1.70006,0.00048025,0.00048025,0.00048025
23,418.934,1.43633,1.23543,1.53422,0.78237,0.70732,0.77853,0.42704,1.56889,1.14707,1.67033,0.0004555,0.0004555,0.0004555
24,435.665,1.43249,1.22525,1.55787,0.81151,0.75812,0.81206,0.44762,1.52247,1.13255,1.62141,0.00043075,0.00043075,0.00043075
25,452.445,1.48169,1.22669,1.5625,0.7526,0.72272,0.77145,0.4129,1.6244,1.1545,1.69366,0.000406,0.000406,0.000406
26,469.137,1.35414,1.1533,1.48416,0.83017,0.74225,0.81373,0.45803,1.51492,1.09516,1.62064,0.00038125,0.00038125,0.00038125
27,485.867,1.32766,1.09444,1.44618,0.79366,0.71569,0.79218,0.43976,1.56639,1.10639,1.64866,0.0003565,0.0003565,0.0003565
28,502.469,1.34771,1.1022,1.45787,0.77775,0.7516,0.8061,0.44337,1.59331,1.0839,1.70517,0.00033175,0.00033175,0.00033175
