epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,model,dataset_size,train/box_loss,train/dfl_loss,val/box_loss,val/dfl_loss
35,481.437,0.36084,1.5354,0.17895,0.04934,0.4304,0.05216,0.02735,0.50357,1.34127,0.27306,0.0001585,0.0001585,0.0001585,rtdetr-l,50,,,,
36,494.881,0.37814,1.51531,0.27137,0.04745,0.42007,0.05211,0.02727,0.4889,1.35348,0.26341,0.00013375,0.00013375,0.00013375,rtdetr-l,50,,,,
37,508.226,0.28691,1.63234,0.123,0.04571,0.41072,0.05156,0.02754,0.47874,1.36081,0.25889,0.000109,0.000109,0.000109,rtdetr-l,50,,,,
38,521.965,0.31118,1.62481,0.22934,0.04531,0.4063,0.05176,0.02759,0.47508,1.36302,0.25492,8.425e-05,8.425e-05,8.425e-05,rtdetr-l,50,,,,
39,535.296,0.29668,1.57864,0.11786,0.04645,0.40384,0.0538,0.02828,0.47196,1.36516,0.25354,5.95e-05,5.95e-05,5.95e-05,rtdetr-l,50,,,,
40,548.725,0.35343,1.48981,0.11801,0.04702,0.39941,0.05427,0.02867,0.4683,1.36934,0.25143,3.475e-05,3.475e-05,3.475e-05,rtdetr-l,50,,,,
1,20.5136,0.74706,12.5588,0.39672,0.00257,0.71569,0.00221,0.00107,0.77051,15.781,0.44366,6e-05,6e-05,0.09406,rtdetr-l,100,,,,
2,35.7122,1.50488,1.84995,1.13968,0.0007,0.19331,0.00131,0.00025,1.61816,0.50711,1.45379,0.000126783,0.000126783,0.0871268,rtdetr-l,100,,,,
3,49.9041,1.53035,0.6475,1.02508,0.00013,0.03542,7e-05,1e-05,2.60007,0.13693,2.24447,0.0001901,0.0001901,0.0801901,rtdetr-l,100,,,,
4,64.0929,1.53216,0.59115,0.86524,0.00037,0.1028,0.00287,0.00046,1.78961,0.56154,1.67099,0.000249953,0.000249953,0.07325,rtdetr-l,100,,,,
5,78.226,1.07918,0.89099,0.66788,0.00066,0.18298,0.01161,0.00166,1.5032,0.72627,1.23691,0.00030634,0.00030634,0.0663063,rtdetr-l,100,,,,
6,92.8654,1.01088,0.965,0.56295,0.00138,0.38269,0.02858,0.00571,1.2284,0.73026,1.07792,0.000359262,0.000359262,0.0593593,rtdetr-l,100,,,,
7,107.29,0.93807,0.93341,0.46266,0.00276,0.76734,0.06941,0.01967,0.86075,1.10678,0.6561,0.00040872,0.00040872,0.0524087,rtdetr-l,100,,,,
8,122.028,0.619,1.27941,0.32985,0.00331,0.91884,0.08687,0.03563,0.58832,1.51897,0.34349,0.000454713,0.000454713,0.0454547,rtdetr-l,100,,,,
9,136.68,0.66319,1.38755,0.34517,0.01158,0.85588,0.09602,0.0359,0.63214,1.59553,0.31383,0.00049724,0.00049724,0.0384972,rtdetr-l,100,,,,
10,151.332,0.56948,1.31371,0.28713,0.0236,0.86129,0.09631,0.03394,0.61931,1.34145,0.32652,0.000536303,0.000536303,0.0315363,rtdetr-l,100,,,,
11,165.997,0.61772,1.17632,0.32736,0.03973,0.65175,0.08482,0.02945,0.75169,1.08054,0.46364,0.0005719,0.0005719,0.0245719,rtdetr-l,100,,,,
12,180.906,0.58495,1.10624,0.27576,0.05771,0.54697,0.06273,0.02807,0.55077,1.24452,0.28976,0.000604033,0.000604033,0.017604,rtdetr-l,100,,,,
13,195.733,0.48841,1.28788,0.26307,0.06007,0.53074,0.06108,0.02863,0.5842,1.33049,0.34911,0.0006327,0.0006327,0.0106327,rtdetr-l,100,,,,
14,210.351,0.49527,1.2877,0.28469,0.07273,0.46631,0.06433,0.0318,0.62778,1.20442,0.45537,0.000657903,0.000657903,0.0036579,rtdetr-l,100,,,,
15,225.169,0.50397,1.16262,0.30164,0.05873,0.45155,0.05628,0.02761,0.55789,1.20246,0.36238,0.0006535,0.0006535,0.0006535,rtdetr-l,100,,,,
16,239.687,0.43947,1.25239,0.30856,0.04333,0.42843,0.04589,0.02329,0.51726,1.37162,0.28832,0.00062875,0.00062875,0.00062875,rtdetr-l,100,,,,
17,254.158,0.43508,1.41061,0.19605,0.04055,0.45647,0.0433,0.02259,0.50777,1.50022,0.28696,0.000604,0.000604,0.000604,rtdetr-l,100,,,,
18,268.592,0.45977,1.3321,0.23532,0.04129,0.49041,0.04376,0.0246,0.49463,1.34284,0.27942,0.00057925,0.00057925,0.00057925,rtdetr-l,100,,,,
19,283.153,0.43402,1.27496,0.21855,0.03644,0.54009,0.0416,0.02412,0.44998,1.35709,0.23628,0.0005545,0.0005545,0.0005545,rtdetr-l,100,,,,
20,297.968,0.44411,1.27073,0.20942,0.03341,0.58633,0.04073,0.02424,0.46054,1.3786,0.23654,0.00052975,0.00052975,0.00052975,rtdetr-l,100,,,,
21,312.413,0.40764,1.35393,0.2025,0.03404,0.61338,0.04217,0.02505,0.47225,1.3965,0.24209,0.000505,0.000505,0.000505,rtdetr-l,100,,,,
22,326.906,0.38282,1.35841,0.18486,0.04344,0.66265,0.05324,0.03047,0.50758,1.39812,0.29642,0.00048025,0.00048025,0.00048025,rtdetr-l,100,,,,
23,341.351,0.39493,1.39108,0.21932,0.03604,0.74766,0.05333,0.03274,0.49237,1.49739,0.31145,0.0004555,0.0004555,0.0004555,rtdetr-l,100,,,,
24,356.161,0.42075,1.33429,0.1563,0.03761,0.76144,0.05444,0.03025,0.46687,1.3559,0.28049,0.00043075,0.00043075,0.00043075,rtdetr-l,100,,,,
25,370.546,0.38427,1.29311,0.18333,0.03974,0.72996,0.05058,0.02667,0.45676,1.30161,0.25766,0.000406,0.000406,0.000406,rtdetr-l,100,,,,
26,385.628,0.41111,1.26851,0.18852,0.04188,0.69405,0.05345,0.02524,0.47128,1.27801,0.24266,0.00038125,0.00038125,0.00038125,rtdetr-l,100,,,,
27,400.524,0.38085,1.32966,0.20798,0.03983,0.65076,0.04805,0.02604,0.45199,1.32851,0.22935,0.0003565,0.0003565,0.0003565,rtdetr-l,100,,,,
28,415.441,0.42151,1.33057,0.17332,0.04215,0.6124,0.04784,0.025,0.45341,1.31902,0.23167,0.00033175,0.00033175,0.00033175,rtdetr-l,100,,,,
29,429.99,0.34638,1.43387,0.174,0.04388,0.57698,0.0478,0.02445,0.46321,1.30113,0.24706,0.000307,0.000307,0.000307,rtdetr-l,100,,,,
30,444.56,0.35147,1.29717,0.1423,0.04838,0.54156,0.04903,0.02582,0.47776,1.28757,0.27472,0.00028225,0.00028225,0.00028225,rtdetr-l,100,,,,
31,460.099,0.25294,1.51928,0.10656,0.05331,0.55829,0.05471,0.02972,0.47902,1.26618,0.27621,0.0002575,0.0002575,0.0002575,rtdetr-l,100,,,,
32,475.261,0.24404,1.49626,0.12077,0.05096,0.6001,0.05758,0.0344,0.46629,1.2693,0.24731,0.00023275,0.00023275,0.00023275,rtdetr-l,100,,,,
33,489.736,0.25679,1.51064,0.1143,0.05124,0.58141,0.05829,0.03442,0.46154,1.27075,0.24382,0.000208,0.000208,0.000208,rtdetr-l,100,,,,
34,504.348,0.25604,1.49128,0.11183,0.05002,0.55091,0.05414,0.03444,0.45333,1.27493,0.23343,0.00018325,0.00018325,0.00018325,rtdetr-l,100,,,,
35,518.753,0.26856,1.46673,0.11014,0.04872,0.52976,0.05539,0.03593,0.45048,1.27225,0.23085,0.0001585,0.0001585,0.0001585,rtdetr-l,100,,,,
36,533.506,0.20587,1.50572,0.09474,0.04603,0.55239,0.05263,0.03336,0.43333,1.29094,0.2276,0.00013375,0.00013375,0.00013375,rtdetr-l,100,,,,
37,548.368,0.21421,1.48276,0.09581,0.04465,0.56222,0.04723,0.02978,0.42697,1.3051,0.22517,0.000109,0.000109,0.000109,rtdetr-l,100,,,,
38,562.96,0.21693,1.52053,0.09962,0.04301,0.5778,0.04955,0.03055,0.41936,1.32399,0.22319,8.425e-05,8.425e-05,8.425e-05,rtdetr-l,100,,,,
39,577.77,0.28959,1.44144,0.10844,0.04193,0.57747,0.04877,0.02983,0.41406,1.34198,0.21757,5.95e-05,5.95e-05,5.95e-05,rtdetr-l,100,,,,
40,592.855,0.20995,1.5169,0.0762,0.04174,0.57846,0.04902,0.03035,0.41224,1.34832,0.21516,3.475e-05,3.475e-05,3.475e-05,rtdetr-l,100,,,,
1,21.3487,1.17498,6.05279,0.85259,0.00017,0.0482,0.00013,2e-05,2.05054,0.28888,2.00061,0.00012,0.00012,0.08812,rtdetr-l,200,,,,
2,39.2219,0.99317,1.25977,0.68168,0.00154,0.42745,0.09268,0.03005,1.44378,0.88251,1.49812,0.000243812,0.000243812,0.0752438,rtdetr-l,200,,,,
3,55.7932,0.80187,1.41743,0.43477,0.00214,0.59616,0.02319,0.00666,1.08871,1.01412,1.00463,0.00036119,0.00036119,0.0623612,rtdetr-l,200,,,,
4,72.3344,0.86085,1.02993,0.42746,0.00283,0.78652,0.08098,0.02745,0.75742,1.2487,0.453,0.000472133,0.000472133,0.0494721,rtdetr-l,200,,,,
5,88.7189,0.6125,1.3212,0.32347,0.00263,0.72996,0.06803,0.02499,0.82817,1.1795,0.66977,0.00057664,0.00057664,0.0365766,rtdetr-l,200,,,,
6,105.716,0.57078,1.45623,0.30948,0.01596,0.85637,0.05335,0.02311,0.58758,1.73405,0.30125,0.000674713,0.000674713,0.0236747,rtdetr-l,200,,,,
7,122.378,0.47809,1.41253,0.25879,0.02477,0.79685,0.05964,0.03,0.60113,1.39507,0.37718,0.00076635,0.00076635,0.0107663,rtdetr-l,200,,,,
8,139.172,0.53573,1.27333,0.27417,0.04319,0.53615,0.04084,0.02192,0.49923,1.41235,0.27157,0.00082675,0.00082675,0.00082675,rtdetr-l,200,,,,
9,156.11,0.47579,1.37042,0.22974,0.03915,0.45007,0.04262,0.02325,0.43793,1.58075,0.22293,0.000802,0.000802,0.000802,rtdetr-l,200,,,,
10,173.63,0.46981,1.33323,0.20194,0.04853,0.38465,0.05808,0.02826,0.42154,1.40276,0.21504,0.00077725,0.00077725,0.00077725,rtdetr-l,200,,,,
11,190.344,0.41317,1.38264,0.20475,0.04182,0.48942,0.04851,0.02591,0.44319,1.40944,0.20146,0.0007525,0.0007525,0.0007525,rtdetr-l,200,,,,
12,207.171,0.48179,1.322,0.21989,0.05008,0.46631,0.07804,0.04149,0.42831,1.35342,0.19432,0.00072775,0.00072775,0.00072775,rtdetr-l,200,,,,
13,224.033,0.41703,1.28533,0.18243,0.05101,0.46877,0.10449,0.04988,0.44812,1.39598,0.21036,0.000703,0.000703,0.000703,rtdetr-l,200,,,,
14,241.369,0.39974,1.34518,0.18805,0.07805,0.37973,0.08157,0.03526,0.42499,1.40738,0.21,0.00067825,0.00067825,0.00067825,rtdetr-l,200,,,,
15,258.39,0.38392,1.33482,0.17358,0.07811,0.41417,0.07427,0.03843,0.39963,1.48482,0.20182,0.0006535,0.0006535,0.0006535,rtdetr-l,200,,,,
16,275.37,0.37319,1.36406,0.18144,0.07471,0.3474,0.06423,0.03231,0.3959,1.47706,0.19419,0.00062875,0.00062875,0.00062875,rtdetr-l,200,,,,
17,292.196,0.38201,1.31198,0.16647,0.0473,0.5032,0.05804,0.03105,0.40819,1.61343,0.20864,0.000604,0.000604,0.000604,rtdetr-l,200,,,,
18,308.834,0.34062,1.36797,0.16802,0.04882,0.46975,0.05588,0.03418,0.41345,1.37292,0.19841,0.00057925,0.00057925,0.00057925,rtdetr-l,200,,,,
19,325.878,0.34669,1.29799,0.14192,0.05238,0.5696,0.07274,0.04135,0.39072,1.49188,0.2027,0.0005545,0.0005545,0.0005545,rtdetr-l,200,,,,
20,342.653,0.33459,1.40693,0.16402,0.06401,0.49729,0.0703,0.03883,0.38702,1.34659,0.1843,0.00052975,0.00052975,0.00052975,rtdetr-l,200,,,,
21,359.792,0.34768,1.26002,0.146,0.06193,0.55288,0.07595,0.04742,0.39427,1.39127,0.19133,0.000505,0.000505,0.000505,rtdetr-l,200,,,,
22,377.162,0.33199,1.37058,0.15429,0.06153,0.57214,0.08129,0.05193,0.40036,1.43751,0.1903,0.00048025,0.00048025,0.00048025,rtdetr-l,200,,,,
23,394.532,0.36163,1.24541,0.16716,0.09607,0.51549,0.0998,0.05245,0.43556,1.23105,0.21979,0.0004555,0.0004555,0.0004555,rtdetr-l,200,,,,
24,411.437,0.34975,1.22802,0.15592,0.07577,0.51156,0.08976,0.0496,0.44647,1.3317,0.22849,0.00043075,0.00043075,0.00043075,rtdetr-l,200,,,,
25,428.143,0.32071,1.30987,0.15466,0.07533,0.46975,0.07251,0.03944,0.45534,1.31578,0.21988,0.000406,0.000406,0.000406,rtdetr-l,200,,,,
26,444.82,0.30504,1.27586,0.1331,0.07731,0.4668,0.07746,0.04622,0.44156,1.34749,0.22732,0.00038125,0.00038125,0.00038125,rtdetr-l,200,,,,
27,461.552,0.32182,1.27747,0.13781,0.07996,0.44761,0.0796,0.04659,0.42993,1.29608,0.22449,0.0003565,0.0003565,0.0003565,rtdetr-l,200,,,,
28,478.814,0.35719,1.17083,0.16616,0.09669,0.4727,0.11397,0.06817,0.43235,1.30733,0.23046,0.00033175,0.00033175,0.00033175,rtdetr-l,200,,,,
29,495.792,0.35529,1.17839,0.16531,0.13623,0.44073,0.13934,0.08764,0.42195,1.16232,0.21617,0.000307,0.000307,0.000307,rtdetr-l,200,,,,
30,512.785,0.34176,1.04378,0.14662,0.14719,0.47418,0.1441,0.09288,0.43399,1.11419,0.22367,0.00028225,0.00028225,0.00028225,rtdetr-l,200,,,,
31,530.874,0.30111,1.1046,0.14091,0.21804,0.4786,0.20646,0.13389,0.44451,1.02097,0.22914,0.0002575,0.0002575,0.0002575,rtdetr-l,200,,,,
32,548.828,0.28191,0.97916,0.13138,0.18703,0.42745,0.17803,0.11368,0.45299,1.20315,0.2497,0.00023275,0.00023275,0.00023275,rtdetr-l,200,,,,
33,566.283,0.28363,1.23529,0.13624,0.23032,0.37629,0.2136,0.14045,0.45497,1.14301,0.24848,0.000208,0.000208,0.000208,rtdetr-l,200,,,,
34,584.119,0.27797,0.98834,0.12131,0.35552,0.35219,0.29259,0.1929,0.46715,0.99078,0.24141,0.00018325,0.00018325,0.00018325,rtdetr-l,200,,,,
35,601.114,0.35214,0.91055,0.16372,0.34951,0.46805,0.32444,0.19827,0.48545,0.95276,0.24381,0.0001585,0.0001585,0.0001585,rtdetr-l,200,,,,
36,618.03,0.322,0.97868,0.14065,0.33048,0.52104,0.3188,0.19449,0.46339,0.99272,0.23505,0.00013375,0.00013375,0.00013375,rtdetr-l,200,,,,
37,635.116,0.27906,0.99743,0.13034,0.34074,0.51303,0.34045,0.20818,0.45723,0.97161,0.24675,0.000109,0.000109,0.000109,rtdetr-l,200,,,,
38,652.051,0.29068,0.99869,0.14028,0.35096,0.55239,0.35289,0.21434,0.4546,0.92813,0.24242,8.425e-05,8.425e-05,8.425e-05,rtdetr-l,200,,,,
39,668.92,0.28557,0.91935,0.13044,0.38743,0.55252,0.38628,0.23658,0.45048,0.87677,0.23764,5.95e-05,5.95e-05,5.95e-05,rtdetr-l,200,,,,
40,685.944,0.2965,0.82183,0.13589,0.42611,0.58534,0.43049,0.26758,0.44181,0.82763,0.23052,3.475e-05,3.475e-05,3.475e-05,rtdetr-l,200,,,,
1,40.3974,1.18583,3.14863,0.87919,0.00187,0.52041,0.03661,0.00733,1.17135,2.00063,0.78662,0.00031,0.00031,0.06931,rtdetr-l,500,,,,
