epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3974,1.18583,3.14863,0.87919,0.00187,0.52041,0.03661,0.00733,1.17135,2.00063,0.78662,0.00031,0.00031,0.06931
2,65.4487,0.88209,1.24584,0.40188,0.00246,0.68323,0.03563,0.01257,0.87672,1.09008,0.41215,0.000614408,0.000614408,0.0376144
3,89.5259,0.60241,1.39681,0.27379,0.03195,0.55829,0.06376,0.02587,0.61859,1.34535,0.35665,0.000902975,0.000902975,0.00590297
4,113.564,0.52071,1.35415,0.2294,0.12324,0.52484,0.11146,0.05314,0.66623,1.20588,0.52974,0.00092575,0.00092575,0.00092575
5,137.479,0.46473,1.40154,0.20344,0.18941,0.47565,0.15536,0.07063,0.57199,1.20575,0.34903,0.000901,0.000901,0.000901
6,161.767,0.45186,1.35457,0.19355,0.10814,0.47909,0.09841,0.0469,0.52219,1.19126,0.31594,0.00087625,0.00087625,0.00087625
7,185.609,0.40627,1.35294,0.16828,0.0695,0.42561,0.07041,0.03441,0.4277,1.36262,0.21255,0.0008515,0.0008515,0.0008515
8,209.431,0.4052,1.35178,0.1786,0.05461,0.41859,0.05991,0.03419,0.35226,1.48761,0.16603,0.00082675,0.00082675,0.00082675
9,233.242,0.41801,1.2889,0.17424,0.06407,0.46286,0.0729,0.04244,0.39706,1.46122,0.18321,0.000802,0.000802,0.000802
10,257.683,0.40818,1.2895,0.1627,0.07454,0.51353,0.08798,0.04618,0.41102,1.43847,0.2119,0.00077725,0.00077725,0.00077725
11,281.417,0.4118,1.19732,0.16065,0.15111,0.44122,0.15334,0.08991,0.43723,1.17306,0.21071,0.0007525,0.0007525,0.0007525
12,305.569,0.42803,1.08011,0.18291,0.43207,0.44607,0.396,0.23912,0.46427,0.95767,0.25072,0.00072775,0.00072775,0.00072775
13,329.422,0.43553,0.87558,0.1816,0.48276,0.57944,0.48547,0.29496,0.43854,0.83921,0.22342,0.000703,0.000703,0.000703
14,353.665,0.4645,0.79367,0.22372,0.58929,0.55829,0.58292,0.33647,0.44988,0.82474,0.22099,0.00067825,0.00067825,0.00067825
15,377.46,0.45685,0.85365,0.20444,0.67842,0.64043,0.67632,0.36238,0.50405,0.73474,0.27039,0.0006535,0.0006535,0.0006535
16,401.352,0.46909,0.69205,0.19861,0.7626,0.77767,0.77657,0.42046,0.48632,0.63196,0.26239,0.00062875,0.00062875,0.00062875
17,425.229,0.49135,0.5967,0.22482,0.69165,0.79292,0.76429,0.43504,0.47666,0.58197,0.26505,0.000604,0.000604,0.000604
18,449.599,0.48036,0.59915,0.22228,0.74243,0.7575,0.77821,0.46975,0.46486,0.69169,0.25872,0.00057925,0.00057925,0.00057925
19,473.505,0.45116,0.58737,0.20588,0.72476,0.75254,0.77978,0.46985,0.45684,0.60283,0.23778,0.0005545,0.0005545,0.0005545
20,497.254,0.45153,0.57755,0.20808,0.79373,0.80817,0.82625,0.49744,0.4385,0.57372,0.23359,0.00052975,0.00052975,0.00052975
21,521.07,0.42935,0.66941,0.18305,0.76336,0.81653,0.80265,0.48486,0.45159,0.59042,0.24199,0.000505,0.000505,0.000505
22,545.165,0.44685,0.58194,0.20326,0.78249,0.80964,0.7904,0.48795,0.43794,0.58675,0.24743,0.00048025,0.00048025,0.00048025
23,568.898,0.43197,0.5457,0.20689,0.79113,0.81997,0.80929,0.49842,0.43508,0.56149,0.23946,0.0004555,0.0004555,0.0004555
24,593.511,0.41143,0.5761,0.1986,0.81946,0.79193,0.81097,0.49571,0.42706,0.6112,0.23928,0.00043075,0.00043075,0.00043075
25,617.212,0.42597,0.64906,0.20454,0.77267,0.82391,0.8026,0.4853,0.44354,0.5996,0.23679,0.000406,0.000406,0.000406
26,641.425,0.43246,0.59048,0.21933,0.78457,0.82095,0.80683,0.49274,0.43747,0.56399,0.24007,0.00038125,0.00038125,0.00038125
27,665.301,0.42457,0.53289,0.18355,0.74927,0.83343,0.76621,0.46887,0.44576,0.60181,0.25222,0.0003565,0.0003565,0.0003565
28,689.015,0.40566,0.54412,0.18176,0.751,0.83817,0.75975,0.46318,0.44219,0.57493,0.23286,0.00033175,0.00033175,0.00033175
29,712.813,0.40549,0.5674,0.18778,0.69355,0.85735,0.74943,0.46739,0.42971,0.55319,0.23231,0.000307,0.000307,0.000307
30,736.965,0.40401,0.52221,0.1783,0.7378,0.87457,0.78692,0.49129,0.42322,0.54103,0.23527,0.00028225,0.00028225,0.00028225
31,761.822,0.36062,0.43991,0.15148,0.75192,0.87408,0.81452,0.51537,0.4161,0.52467,0.23014,0.0002575,0.0002575,0.0002575
32,785.704,0.34506,0.43378,0.14587,0.80876,0.86867,0.82781,0.52097,0.41515,0.5375,0.23125,0.00023275,0.00023275,0.00023275
33,809.898,0.3381,0.41809,0.14899,0.81282,0.88195,0.84013,0.52603,0.41963,0.50372,0.23813,0.000208,0.000208,0.000208
34,833.733,0.32958,0.40642,0.13257,0.85157,0.88096,0.84828,0.53659,0.41433,0.49163,0.24141,0.00018325,0.00018325,0.00018325
35,857.554,0.3302,0.3818,0.13469,0.86048,0.87063,0.86312,0.54099,0.41732,0.49234,0.23686,0.0001585,0.0001585,0.0001585
36,881.686,0.331,0.38353,0.15006,0.87061,0.88036,0.87509,0.55382,0.41392,0.47695,0.2314,0.00013375,0.00013375,0.00013375
37,905.563,0.31766,0.37092,0.12434,0.85271,0.89621,0.87122,0.55439,0.41005,0.46519,0.23409,0.000109,0.000109,0.000109
38,929.744,0.30153,0.37144,0.1199,0.84717,0.89523,0.85905,0.54624,0.41563,0.45874,0.23529,8.425e-05,8.425e-05,8.425e-05
39,953.45,0.31133,0.38523,0.12183,0.83219,0.89523,0.83671,0.53476,0.41216,0.4724,0.24012,5.95e-05,5.95e-05,5.95e-05
40,977.073,0.29706,0.35594,0.11562,0.84764,0.88937,0.85407,0.54418,0.417,0.46217,0.24617,3.475e-05,3.475e-05,3.475e-05
