epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6029,0.80106,1.45726,0.41311,0.03976,0.52632,0.06153,0.03432,0.4091,1.6398,0.20098,0.00033156,0.00033156,0.0671755
2,183.887,0.51972,1.22461,0.21922,0.13738,0.50074,0.19059,0.08238,0.38604,1.28683,0.1726,0.000648438,0.000648438,0.0341591
3,269.026,0.47775,1.10327,0.21576,0.13534,0.47221,0.18979,0.09139,0.46205,1.1418,0.23453,0.000948815,0.000948815,0.00112612
4,353.976,0.52112,0.86487,0.26085,0.68027,0.74274,0.73468,0.40732,0.47945,0.8254,0.25721,0.00092575,0.00092575,0.00092575
5,438.544,0.55461,0.72207,0.29898,0.75523,0.67683,0.74459,0.39852,0.47495,0.69604,0.26765,0.000901,0.000901,0.000901
6,523.866,0.52884,0.67754,0.2817,0.69872,0.63256,0.68755,0.38527,0.48472,0.79269,0.26593,0.00087625,0.00087625,0.00087625
7,608,0.50318,0.64044,0.26387,0.78693,0.74324,0.79509,0.48061,0.44868,0.57894,0.24087,0.0008515,0.0008515,0.0008515
8,692.728,0.50568,0.65885,0.25145,0.75759,0.67241,0.73584,0.43962,0.43711,0.71099,0.22384,0.00082675,0.00082675,0.00082675
9,776.65,0.4903,0.61886,0.24434,0.73871,0.76208,0.7859,0.48619,0.43067,0.57991,0.22521,0.000802,0.000802,0.000802
10,861.374,0.45641,0.61068,0.2377,0.79919,0.84407,0.8394,0.53532,0.41323,0.61327,0.21685,0.00077725,0.00077725,0.00077725
11,946.057,0.45746,0.58018,0.22734,0.75946,0.85293,0.8378,0.5367,0.40305,0.51977,0.20882,0.0007525,0.0007525,0.0007525
12,1030.97,0.43471,0.57503,0.22307,0.8347,0.89664,0.88631,0.56805,0.39799,0.46452,0.20651,0.00072775,0.00072775,0.00072775
13,1116.71,0.4414,0.56752,0.21367,0.82016,0.87949,0.86866,0.55004,0.40953,0.48384,0.21109,0.000703,0.000703,0.000703
14,1201.64,0.42418,0.58304,0.21353,0.83486,0.8908,0.86395,0.56059,0.40059,0.51909,0.21105,0.00067825,0.00067825,0.00067825
